wallet,iusdc,sicx,usds
hx2f95807b93732c974bae7f3a02e675828fa0d04c,2510000000000,2010000000000000000,2460000000000000000
hx909b0fed3d39deace53ce175f92dc153b68bcf6c,0,0,0
hxb3ed0e7330dc3d1c3b5067d4a6c2e2768e6f84aa,0,0,0
hx44a17a00d1641f939c78d95dc6b1807de266ecbc,0,0,0
hx7437db31eb85eb1916fde7eea0ff9176437f3c0b,0,1800000000000000000,0
hx71b388455d64e50659089aa39990877c23642a74,0,0,0
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,0,0,0
hxfd8e5fc2960b734cc9d25b2e646915f6c09532f9,0,836830000000000000000,0
hx6e729b5e2e83736296f6b4b21c2aa37951d623fd,0,0,0
hx285759195a8a310f342cc749bfbe0a88b7b50816,0,1140000000000000000,0
hx9994eeff7490131f381ba2927aa0ff4298817076,0,0,0
hx4818d378357536e2f298c086adc0e603e52c5d54,0,0,0
hx19a9a7d135effc2ae98fb821c69f5e8181198822,0,0,0
hx9cfb0dbadffca04c8e318c0ae0dae5d8077e214b,0,580000000000000000,0
hx5c118159ead20946b9e46f8e0cd2629d589cf6be,0,0,0
hxe97ebfb0384957d447acf0a317ff33370ff4584f,0,406550000000000000000,0
hx475c47907aa2d92d6793d5cb2aaed03bdf9cf605,0,24920000000000000000,0
hx266ae9ca4a54641a90c664df09151e612a27d4a9,132070000000000,0,0
hx82f205910c4cc0346176dfdba3dcb4478b48ca85,0,0,0
hxe85501960a82a234a2764c46a710cad545d600c8,0,0,0
hxb3c703cfa0f8c52963838fa567bb652124206605,0,0,3107950000000000000000
hx91e50f1eb218682360b518892e6a58d0ce706713,0,0,0
hx7b0522484dccc056383a73013c4663398fafa3a9,0,1320000000000000000,170000000000000000
hx9e0b911b73fa5493fe16e8871c980544885e344b,20310000000000,0,0
hx1339b99e76ef88e62c5c54d7c18c736186cb72b2,0,0,1000000000000000000
hxfc28f105f314f13b13ad64655e17ab30ade9651a,0,250860000000000000000,100000000000000000000
hx4b30288377710d600e997328e85be162df742392,7075470000000000,660000000000000000,16780000000000000000
hx10857322b1ca1a66d7f1a5eae10effd1f727f2ba,0,280000000000000000,0
hx40fa93e242c9fd369be39d5e5ca22a7476fc06bd,0,1060000000000000000,0
hxd4e18c60965f08060ef12609aecbcab464b0166e,0,0,0
hx47c0c35f400f0fa28ec585c6b624b464bfdb7d9f,0,0,0
hx88b2272c89d22f69b280e9b2304e5acb72463788,0,0,0
hxd26b7f03007c11d87d60f0d4854396f0d4b59d01,0,0,715660000000000000000
hx86f13a05adbc3c13fefa5c24064ad4244ffc93f0,0,0,0
hxa018670c485a223ed2130fca42611348907cd463,0,112510000000000000000,0
hxb5cdb4ce8461e00fe1cf55a307b864e4b648c219,0,0,0
hx6f49eba5c6e284227bb150802adf2a6efb391675,0,0,0
hxa647959cbe27c257a13dc4c42723b3f9b80850aa,0,3510000000000000000,0
hxd64a0ebd3d6c4c348a28eeefbbcd3d6e4c1d9a63,0,3010000000000000000,0
hxd92820f2652ac989085f3dad43c95817a858e725,0,0,0
hx6e958f208b1b879592509925f379ba860ec8090d,0,0,0
hxdf0aef4aff6f9005439ad20515a4751df13b0b8e,0,2040000000000000000,0
hx1d0bbb0557958d6a3e5887cd5129574b8ac7bdfd,0,68530000000000000000,0
hx53da9e49f9054886800cbfc264569780a01a9fe7,0,0,0
hx4341ee6ec00d5e124c2176d31c18d33c38145af3,0,0,0
hxa27fc838154d4836b9bd829081a996ac4d522da4,0,0,0
hxe55820830f7cfa02351c131b24ed20d71fa8b2f3,0,0,0
hx0c32c479f62845be8ac3c36719eb5dd02e130ed4,0,477580000000000000000,0
hxfef9587d930a62a5bb16c5b4cda7629e2af93502,320000000000,0,9510000000000000000
hxef5602e1f1113f09b35936f0ff6d261afc72219f,0,0,0
hxcca010015b2995b397fdb8d7345bc4ebd1a22cfb,60070000000000,0,10790000000000000000
hxc592cf6cfccfebe61ce883a68b91f86ce1d89df5,0,0,0
hxb600fbb858d9c575a3b559bb5287bae7789694eb,0,0,0
hx5f654c40cff2e4d6fcd90b7e6fa2570a1243f653,0,0,0
hx8a2bc74d734b4c751e4639de155dccefaec396da,0,0,0
hx14125b7587333c8d62bb9e11a875021e38d5b73b,0,0,0
hxae90d9ba27119ad6647722cfa4dbdfa100c926dc,0,0,0
hx952a7d37308b799ed7dc9c90a21b408dbb4dc3a2,0,0,0
hxc914d6ed30657ae579cd75d1154a280350762734,0,0,0
hxf7999c57ae5ad4932223c0c08d84eb1af1685b70,0,0,0
hxc964cb545f3ea0802bd5ae4acdc9ec4b48fb3a9e,0,0,1150000000000000000
hx05b724aa121103d408caa3ee420e7b513bebe3a7,0,0,0
hx07bf6f9fde57126b8b30311e3f8a6878c5d5a2c0,0,0,0
hx376f681fff7a9b2a1c30f142bc2dd581b4783db5,0,0,0
hx7626e46e7cd9b6fdeef37b43b17373a12e5fc5ab,0,0,0
hxf116a059feb099f2306b764e103e54fe0fbb08dd,0,0,0
hx0c0538ec860330bce96a1222cef1d145cc868e6b,1650000000000,20090000000000000000,13810000000000000000
hx191fc9cdc02039168641056dcd59774ad0044ef0,0,0,0
hxde91184c5aa41c719bc4b9296262606c6ce06d8e,0,1070000000000000000,0
hx51a80062dc66c9fc836a7434863a9ecb5b5f9b95,17100000000000,1560000000000000000,0
hx19c149bd4417cfa6177e191119acab11e76e8f60,7823800000000000,4051350000000000000000,0
hx3daef3a5a4ce9ee29f07beaeddf175bf74361768,0,14800000000000000000,0
hx3d2e311b7d0b081be7adb2e0d2ec35e97f31b0b8,0,0,0
